"Year","first.letter","Month","STORM.NAME","CATEGORY","CURRENT.DAMAGE.2022","name","StartMonth","maxWS","minCP","avgLat","avgLon","max_Cat","Landfall_Cat_ICAT","Cat_HURDAT","DamageInd"
1960,"ABB",NA,NA,NA,NA,"               ABBY 021960 ",7,70,995,15,76,"1",NA,"TS-2","No"
1960,"BRE","Jul","Brenda","0",5e+08,"             BRENDA 031960 ",7,60,976,48,72,"0","TS-2","TS-2","Yes"
1960,"CLE",NA,NA,NA,NA,"               CLEO 041960 ",8,75,995,33,68,"1",NA,"TS-2","No"
1960,"DON","Sep","Donna","3",4.85e+09,"              DONNA 051960 ",8,125,930,23,61,"4","3-5","3-5","Yes"
1960,"DON","Sep","Donna","4",7.341e+10,"              DONNA 051960 ",8,125,930,23,61,"4","3-5","3-5","Yes"
1960,"ETH","Sep","Ethel","1",4.5e+07,"              ETHEL 061960 ",9,100,974,27,89,"3","TS-2","3-5","Yes"
1960,"FLO",NA,NA,NA,NA,"           FLORENCE 071960 ",9,50,1000,23,77,"0",NA,"TS-2","No"
1960,"UNN","Jun","Unnamed 1960","0",1.3e+08,"            UNNAMED 081960 ",9,40,Inf,28,51,"0","TS-2","TS-2","Yes"
1960,"UNN","Jun","Unnamed 1960","0",1.3e+08,"            UNNAMED 011960 ",6,50,1000,28,95,"0","TS-2","TS-2","Yes"
1961,"ANN",NA,NA,NA,NA,"               ANNA 011961 ",7,90,976,13,70,"2",NA,"TS-2","No"
1961,"BET",NA,NA,NA,NA,"              BETSY 021961 ",9,115,945,38,42,"4",NA,"3-5","No"
1961,"CAR","Sep","Carla","4",2.227e+10,"              CARLA 031961 ",9,125,927,32,82,"4","3-5","3-5","Yes"
1961,"DEB",NA,NA,NA,NA,"             DEBBIE 041961 ",9,80,961,33,29,"1",NA,"TS-2","No"
1961,"EST","Sep","Esther","0",3.8e+08,"             ESTHER 051961 ",9,140,919,29,60,"5","TS-2","3-5","Yes"
1961,"FRA",NA,NA,NA,NA,"            FRANCES 071961 ",9,115,948,27,65,"4",NA,"3-5","No"
1961,"GER",NA,NA,NA,NA,"              GERDA 081961 ",10,65,988,31,69,"1",NA,"TS-2","No"
1961,"HAT",NA,NA,NA,NA,"             HATTIE 091961 ",10,145,914,14,82,"5",NA,"3-5","No"
1961,"ING",NA,NA,NA,NA,"               INGA 111961 ",11,60,997,20,93,"0",NA,"TS-2","No"
1961,"JEN",NA,NA,NA,NA,"              JENNY 101961 ",11,70,974,30,49,"1",NA,"TS-2","No"
1961,"UNN",NA,NA,NA,NA,"            UNNAMED 061961 ",9,60,995,33,76,"0",NA,"TS-2","No"
1961,"UNN",NA,NA,NA,NA,"            UNNAMED 121961 ",11,50,1004,30,46,"0",NA,"TS-2","No"
1962,"ALM","Aug","Alma","0",5.8e+07,"               ALMA 011962 ",8,75,984,36,70,"1","TS-2","TS-2","Yes"
1962,"BEC",NA,NA,NA,NA,"              BECKY 021962 ",8,50,Inf,25,23,"0",NA,"TS-2","No"
1962,"CEL",NA,NA,NA,NA,"              CELIA 031962 ",9,60,995,25,54,"0",NA,"TS-2","No"
1962,"DAI","Oct","Daisy","0",3.2e+07,"              DAISY 041962 ",9,90,950,26,62,"2","TS-2","TS-2","Yes"
1962,"ELL",NA,NA,NA,NA,"               ELLA 051962 ",10,95,958,36,60,"2",NA,"TS-2","No"
1962,"UNN",NA,NA,NA,NA,"            UNNAMED 061962 ",6,55,998,38,67,"0",NA,"TS-2","No"
1962,"UNN",NA,NA,NA,NA,"            UNNAMED 071962 ",11,80,991,32,73,"1",NA,"TS-2","No"
1963,"ARL",NA,NA,NA,NA,"             ARLENE 011963 ",7,100,969,26,52,"3",NA,"3-5","No"
1963,"BEU",NA,NA,NA,NA,"             BEULAH 021963 ",8,105,958,44,27,"3",NA,"3-5","No"
